dd
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Alias           Out-HexDump                                        2.0.1      NtObjectManager
Alias           Unprotect-RC4                                      2.0.1      NtObjectManager
Function        Add-AppModelLoopbackException                      2.0.1      NtObjectManager
Function        Add-FwCondition                                    2.0.1      NtObjectManager
Function        Add-FwFilter                                       2.0.1      NtObjectManager
Function        Add-KerberosKdcPin                                 2.0.1      NtObjectManager
Function        Add-KerberosTicket                                 2.0.1      NtObjectManager
Function        Add-NtAccountRight                                 2.0.1      NtObjectManager
Function        Add-NtAtom                                         2.0.1      NtObjectManager
Function        Add-NtEaBuffer                                     2.0.1      NtObjectManager
Function        Add-NtSection                                      2.0.1      NtObjectManager
Function        Add-NtSecurityDescriptorControl                    2.0.1      NtObjectManager
Function        Add-NtSidName                                      2.0.1      NtObjectManager
Function        Add-NtVirtualMemory                                2.0.1      NtObjectManager
Function        Add-ObjectTypeTree                                 2.0.1      NtObjectManager
Function        Add-RpcClientSecurityContext                       2.0.1      NtObjectManager
Function        Backup-NtKey                                       2.0.1      NtObjectManager
Function        Backup-Win32Credential                             2.0.1      NtObjectManager
Function        Clear-KerberosKdcPin                               2.0.1      NtObjectManager
Function        Clear-NtSecurityDescriptorDacl                     2.0.1      NtObjectManager
Function        Clear-NtSecurityDescriptorSacl                     2.0.1      NtObjectManager
Function        Clear-NtSidName                                    2.0.1      NtObjectManager
Function        Clear-NtThreadWorkOnBehalfTicket                   2.0.1      NtObjectManager
Function        Close-NtObject                                     2.0.1      NtObjectManager
Function        Compare-NtObject                                   2.0.1      NtObjectManager
Function        Compare-NtSigningLevel                             2.0.1      NtObjectManager
Function        Confirm-NtFileOplock                               2.0.1      NtObjectManager
Function        Connect-RpcClient                                  2.0.1      NtObjectManager
Function        Connect-SamServer                                  2.0.1      NtObjectManager
Function        ConvertFrom-HexDump                                2.0.1      NtObjectManager
Function        ConvertFrom-LsaSecurityBuffer                      2.0.1      NtObjectManager
Function        ConvertFrom-NtAceCondition                         2.0.1      NtObjectManager
Function        ConvertFrom-NtSecurityDescriptor                   2.0.1      NtObjectManager
Function        ConvertFrom-NtSid                                  2.0.1      NtObjectManager
Function        ConvertTo-NtAceCondition                           2.0.1      NtObjectManager
Function        ConvertTo-ObjectTypeTree                           2.0.1      NtObjectManager
Function        Copy-NtSecurityDescriptor                          2.0.1      NtObjectManager
Function        Copy-NtToken                                       2.0.1      NtObjectManager
Function        Disable-NtTokenGroup                               2.0.1      NtObjectManager
Function        Disable-NtTokenPrivilege                           2.0.1      NtObjectManager
Function        Disable-NtTokenVirtualization                      2.0.1      NtObjectManager
Function        Disconnect-RpcClient                               2.0.1      NtObjectManager
Function        Edit-NtSecurityDescriptor                          2.0.1      NtObjectManager
Function        Enable-NtTokenGroup                                2.0.1      NtObjectManager
Function        Enable-NtTokenPrivilege                            2.0.1      NtObjectManager
Function        Enable-NtTokenVirtualization                       2.0.1      NtObjectManager
Function        Export-KerberosKeyTab                              2.0.1      NtObjectManager
Function        Export-KerberosTicket                              2.0.1      NtObjectManager
Function        Export-KerberosTicketCache                         2.0.1      NtObjectManager
Function        Export-LsaAuthToken                                2.0.1      NtObjectManager
Function        Export-NtObject                                    2.0.1      NtObjectManager
Function        Format-ASN1DER                                     2.0.1      NtObjectManager
Function        Format-ComProxyFile                                2.0.1      NtObjectManager
Function        Format-FwFilter                                    2.0.1      NtObjectManager
Function        Format-HexDump                                     2.0.1      NtObjectManager
Function        Format-KerberosTicket                              2.0.1      NtObjectManager
Function        Format-LsaAuthToken                                2.0.1      NtObjectManager
Function        Format-NdrComplexType                              2.0.1      NtObjectManager
Function        Format-NdrComProxy                                 2.0.1      NtObjectManager
Function        Format-NdrProcedure                                2.0.1      NtObjectManager
Function        Format-NdrRpcServerInterface                       2.0.1      NtObjectManager
Function        Format-NtSecurityDescriptor                        2.0.1      NtObjectManager
Function        Format-NtToken                                     2.0.1      NtObjectManager
Function        Format-RpcClient                                   2.0.1      NtObjectManager
Function        Format-RpcComplexType                              2.0.1      NtObjectManager
Function        Format-RpcServer                                   2.0.1      NtObjectManager
Function        Format-Win32SecurityDescriptor                     2.0.1      NtObjectManager
Function        Get-AccessibleAlpcPort                             2.0.1      NtObjectManager
Function        Get-AppContainerProfile                            2.0.1      NtObjectManager
Function        Get-AppModelApplicationPolicy                      2.0.1      NtObjectManager
Function        Get-AppModelLoopbackException                      2.0.1      NtObjectManager
Function        Get-AppxDesktopBridge                              2.0.1      NtObjectManager
Function        Get-ASN1DER                                        2.0.1      NtObjectManager
Function        Get-CentralAccessPolicy                            2.0.1      NtObjectManager
Function        Get-ComProxyFile                                   2.0.1      NtObjectManager
Function        Get-DsExtendedRight                                2.0.1      NtObjectManager
Function        Get-DsHeuristics                                   2.0.1      NtObjectManager
Function        Get-DsObjectSchemaClass                            2.0.1      NtObjectManager
Function        Get-DsObjectSid                                    2.0.1      NtObjectManager
Function        Get-DsSchemaAttribute                              2.0.1      NtObjectManager
Function        Get-DsSchemaClass                                  2.0.1      NtObjectManager
Function        Get-DsSDRightsEffective                            2.0.1      NtObjectManager
Function        Get-EmbeddedAuthenticodeSignature                  2.0.1      NtObjectManager
Function        Get-ExecutionAlias                                 2.0.1      NtObjectManager
Function        Get-FilterConnectionPort                           2.0.1      NtObjectManager
Function        Get-FilterDriver                                   2.0.1      NtObjectManager
Function        Get-FilterDriverInstance                           2.0.1      NtObjectManager
